Age,Gender,Category,Purchase Amount (USD),Size,Season,Review Rating,Subscription Status,Shipping Type,Discount Applied,Promo Code Used,Previous Purchases,Payment Method,Frequency of Purchases
52,Male,Clothing,200,S,Summer,4.6,Yes,Free Shipping,Yes,Yes,17,Cash,Weekly
66,Male,Clothing,90,M,Summer,3.3,Yes,Standard,Yes,Yes,46,Debit Card,Bi-Weekly
21,Male,Clothing,51,M,Winter,2.8,Yes,Express,Yes,Yes,50,Cash,Every 3 Months
31,Male,Clothing,62,M,Winter,4.1,Yes,Store Pickup,Yes,Yes,22,Debit Card,Quarterly
56,Male,Clothing,37,M,Summer,3.2,Yes,Store Pickup,Yes,Yes,32,Debit Card,Annually
31,Male,Clothing,167,XL,Winter,4.4,Yes,Express,Yes,Yes,40,Credit Card,Weekly
18,Male,Outerwear,22,M,Fall,2.9,Yes,Store Pickup,Yes,Yes,16,Debit Card,Weekly
18,Male,Clothing,25,M,Summer,3.6,Yes,Express,Yes,Yes,14,PayPal,Annually
38,Male,Accessories,20,M,Spring,3.6,Yes,Next Day Air,Yes,Yes,13,Credit Card,Annually
56,Male,Clothing,56,L,Summer,5,Yes,Next Day Air,Yes,Yes,7,Bank Transfer,Every 3 Months
54,Male,Accessories,94,M,Fall,4.4,Yes,Free Shipping,Yes,Yes,41,PayPal,Every 3 Months
31,Male,Clothing,48,S,Fall,4.1,Yes,Store Pickup,Yes,Yes,14,Credit Card,Weekly
57,Male,Accessories,31,L,Winter,4.7,Yes,Standard,Yes,Yes,16,Credit Card,Monthly
33,Male,Clothing,79,L,Winter,4.7,Yes,Store Pickup,Yes,Yes,45,Venmo,Monthly
36,Male,Outerwear,67,M,Summer,4.9,Yes,Free Shipping,Yes,Yes,37,Venmo,Annually
54,Male,Clothing,38,L,Summer,3.3,Yes,Store Pickup,Yes,Yes,45,Cash,Quarterly
36,Male,Clothing,91,L,Spring,4.6,Yes,2-Day Shipping,Yes,Yes,38,PayPal,Quarterly
54,Male,Clothing,33,M,Summer,4,Yes,2-Day Shipping,Yes,Yes,48,Credit Card,Bi-Weekly
35,Male,Clothing,69,M,Winter,4.6,Yes,Free Shipping,Yes,Yes,44,PayPal,Fortnightly
35,Male,Clothing,45,S,Summer,2.8,Yes,Store Pickup,Yes,Yes,10,PayPal,Weekly
29,Male,Clothing,37,M,Winter,3.7,Yes,2-Day Shipping,Yes,Yes,44,Venmo,Every 3 Months
70,Male,Clothing,60,S,Summer,4.2,Yes,Express,Yes,Yes,18,Credit Card,Monthly
69,Male,Accessories,76,L,Winter,4.6,Yes,Next Day Air,Yes,Yes,31,Debit Card,Quarterly
67,Male,Accessories,39,M,Spring,4.5,Yes,Standard,Yes,Yes,40,Venmo,Annually
20,Male,Outerwear,100,M,Spring,4.1,Yes,Free Shipping,Yes,Yes,15,PayPal,Annually
25,Male,Accessories,69,L,Fall,3.7,Yes,Store Pickup,Yes,Yes,19,PayPal,Fortnightly
39,Male,Accessories,53,S,Summer,4.6,Yes,Free Shipping,Yes,Yes,45,PayPal,Weekly
50,Male,Clothing,21,XL,Fall,2.9,Yes,2-Day Shipping,Yes,Yes,25,PayPal,Annually
57,Male,Clothing,43,L,Summer,2.9,Yes,Store Pickup,Yes,Yes,45,Cash,Quarterly
55,Male,Accessories,54,M,Winter,4.5,Yes,Free Shipping,Yes,Yes,36,Cash,Weekly
42,Male,Clothing,55,M,Summer,2.7,Yes,Store Pickup,Yes,Yes,38,Cash,Monthly
68,Male,Clothing,30,S,Spring,4.6,Yes,Next Day Air,Yes,Yes,34,Debit Card,Bi-Weekly
49,Male,Clothing,28,M,Spring,3.7,Yes,Store Pickup,Yes,Yes,39,Debit Card,Bi-Weekly
59,Male,Clothing,59,XL,Winter,4.7,Yes,2-Day Shipping,Yes,Yes,7,Credit Card,Quarterly
42,Male,Clothing,20,M,Summer,2.6,Yes,Free Shipping,Yes,Yes,26,Credit Card,Weekly
29,Male,Clothing,24,S,Winter,3.9,Yes,Next Day Air,Yes,Yes,35,Credit Card,Weekly
47,Male,Outerwear,94,M,Summer,4.2,Yes,Next Day Air,Yes,Yes,35,Debit Card,Bi-Weekly
40,Male,Outerwear,28,M,Winter,3,Yes,2-Day Shipping,Yes,Yes,49,Credit Card,Annually
41,Male,Accessories,73,XL,Summer,4.7,Yes,Store Pickup,Yes,Yes,46,Credit Card,Weekly
21,Male,Outerwear,64,M,Summer,4.4,Yes,Store Pickup,Yes,Yes,17,Debit Card,Fortnightly
69,Male,Clothing,54,M,Summer,4.2,Yes,Free Shipping,Yes,Yes,29,Venmo,Monthly
63,Male,Accessories,79,L,Spring,4.6,Yes,Standard,Yes,Yes,4,Debit Card,Weekly
50,Male,Clothing,37,L,Summer,4,Yes,Express,Yes,Yes,17,Cash,Weekly
55,Male,Accessories,68,M,Winter,4.7,Yes,Store Pickup,Yes,Yes,21,Credit Card,Every 3 Months
30,Male,Footwear,21,S,Spring,3.8,Yes,Free Shipping,Yes,Yes,31,Credit Card,Fortnightly
33,Male,Accessories,79,L,Winter,2.7,Yes,2-Day Shipping,Yes,Yes,43,Credit Card,Weekly
65,Male,Footwear,83,S,Fall,4.8,Yes,Standard,Yes,Yes,18,Debit Card,Fortnightly
65,Male,Accessories,36,M,Spring,4.8,Yes,2-Day Shipping,Yes,Yes,44,Venmo,Every 3 Months
31,Male,Clothing,94,S,Winter,4.7,Yes,2-Day Shipping,Yes,Yes,3,Venmo,Every 3 Months
45,Male,Outerwear,33,L,Winter,4.4,Yes,Store Pickup,Yes,Yes,49,Debit Card,Monthly
57,Male,Accessories,46,L,Summer,3.9,Yes,Next Day Air,Yes,Yes,21,Cash,Every 3 Months
48,Male,Accessories,70,S,Summer,4.4,Yes,Express,Yes,Yes,5,Cash,Weekly
22,Male,Accessories,29,M,Fall,4.2,Yes,Express,Yes,Yes,32,Debit Card,Every 3 Months
36,Male,Clothing,48,L,Summer,2.9,Yes,Express,Yes,Yes,34,Bank Transfer,Annually
18,Male,Clothing,26,M,Winter,2.9,Yes,Store Pickup,Yes,Yes,21,Bank Transfer,Every 3 Months
48,Male,Clothing,85,M,Spring,2.7,Yes,Free Shipping,Yes,Yes,43,Bank Transfer,Bi-Weekly
49,Male,Accessories,58,L,Spring,4.5,Yes,Express,Yes,Yes,3,Cash,Monthly
64,Male,Accessories,85,M,Summer,2.7,Yes,Free Shipping,Yes,Yes,21,Credit Card,Annually
50,Male,Accessories,43,S,Summer,4.2,Yes,Free Shipping,Yes,Yes,32,Venmo,Monthly
22,Male,Clothing,53,L,Summer,3.3,Yes,Next Day Air,Yes,Yes,36,Debit Card,Fortnightly
50,Male,Clothing,91,M,Spring,4.7,Yes,Free Shipping,Yes,Yes,50,Venmo,Fortnightly
38,Male,Outerwear,96,M,Winter,2.6,Yes,2-Day Shipping,Yes,Yes,43,Bank Transfer,Every 3 Months
19,Male,Footwear,72,XL,Summer,3.3,Yes,Store Pickup,Yes,Yes,24,Credit Card,Every 3 Months
67,Male,Footwear,96,L,Summer,2.6,Yes,Express,Yes,Yes,36,Credit Card,Every 3 Months
19,Male,Clothing,28,S,Spring,4,Yes,2-Day Shipping,Yes,Yes,21,Credit Card,Every 3 Months
36,Male,Clothing,40,M,Summer,4.1,Yes,Standard,Yes,Yes,34,Bank Transfer,Weekly
52,Male,Outerwear,32,S,Spring,4.4,Yes,Standard,Yes,Yes,42,Bank Transfer,Every 3 Months
53,Male,Accessories,95,M,Winter,4.5,Yes,Next Day Air,Yes,Yes,2,Debit Card,Bi-Weekly
24,Male,Clothing,41,L,Spring,3.7,Yes,2-Day Shipping,Yes,Yes,47,Cash,Bi-Weekly
52,Male,Footwear,53,M,Fall,3.7,Yes,2-Day Shipping,Yes,Yes,44,Debit Card,Fortnightly
33,Male,Clothing,47,M,Fall,3.5,Yes,Free Shipping,Yes,Yes,35,Credit Card,Monthly
47,Male,Outerwear,83,XL,Fall,3.6,Yes,Next Day Air,Yes,Yes,15,Cash,Quarterly
25,Male,Accessories,48,L,Summer,2.9,Yes,Express,Yes,Yes,29,Credit Card,Monthly
44,Male,Accessories,99,S,Winter,4.6,Yes,Standard,Yes,Yes,18,Credit Card,Every 3 Months
61,Male,Outerwear,87,M,Winter,4.4,Yes,2-Day Shipping,Yes,Yes,13,Venmo,Every 3 Months
37,Male,Clothing,62,M,Fall,4.5,Yes,Standard,Yes,Yes,46,Credit Card,Weekly
58,Male,Clothing,76,S,Spring,4.6,Yes,Free Shipping,Yes,Yes,28,Credit Card,Weekly
37,Male,Footwear,100,L,Fall,3.8,Yes,Free Shipping,Yes,Yes,48,PayPal,Monthly
32,Male,Accessories,73,S,Spring,3.6,Yes,Express,Yes,Yes,43,Venmo,Every 3 Months
21,Male,Footwear,92,M,Winter,4.8,Yes,Store Pickup,Yes,Yes,37,Cash,Annually
20,Male,Clothing,67,XL,Spring,2.6,Yes,Next Day Air,Yes,Yes,20,Bank Transfer,Annually
26,Male,Clothing,40,XL,Summer,3.7,Yes,Express,Yes,Yes,33,Debit Card,Quarterly
62,Male,Accessories,98,M,Fall,2.7,Yes,Express,Yes,Yes,31,Cash,Fortnightly
27,Male,Outerwear,85,XL,Spring,4.6,Yes,Express,Yes,Yes,50,Credit Card,Bi-Weekly
51,Male,Clothing,67,L,Winter,4.8,Yes,Next Day Air,Yes,Yes,35,Credit Card,Quarterly
54,Male,Footwear,89,L,Winter,4,Yes,Next Day Air,Yes,Yes,22,Venmo,Bi-Weekly
55,Male,Accessories,24,L,Spring,4.4,Yes,2-Day Shipping,Yes,Yes,1,PayPal,Monthly
69,Male,Accessories,96,M,Fall,3.6,Yes,Next Day Air,Yes,Yes,4,Bank Transfer,Annually
64,Male,Outerwear,35,L,Summer,3.7,Yes,Standard,Yes,Yes,31,Credit Card,Monthly
28,Male,Footwear,67,L,Winter,3.1,Yes,Next Day Air,Yes,Yes,46,PayPal,Fortnightly
70,Male,Clothing,79,L,Spring,3.4,Yes,Next Day Air,Yes,Yes,32,Bank Transfer,Bi-Weekly
58,Male,Clothing,85,M,Spring,2.6,Yes,Next Day Air,Yes,Yes,43,Bank Transfer,Fortnightly
56,Male,Accessories,26,M,Summer,4,Yes,Standard,Yes,Yes,26,Venmo,Fortnightly
26,Male,Accessories,75,L,Summer,5,Yes,Free Shipping,Yes,Yes,9,Credit Card,Annually
37,Male,Accessories,65,M,Spring,4.3,Yes,Free Shipping,Yes,Yes,28,PayPal,Bi-Weekly
44,Male,Accessories,54,L,Winter,3.1,Yes,Next Day Air,Yes,Yes,20,PayPal,Quarterly
70,Male,Outerwear,95,S,Summer,3.7,Yes,Store Pickup,Yes,Yes,9,Cash,Weekly
53,Male,Clothing,94,M,Spring,3.8,Yes,Standard,Yes,Yes,48,Debit Card,Every 3 Months
55,Male,Footwear,86,S,Spring,3.4,Yes,Free Shipping,Yes,Yes,12,Venmo,Annually
50,Male,Footwear,32,L,Summer,4.6,Yes,Express,Yes,Yes,29,Cash,Fortnightly
50,Male,Clothing,45,L,Fall,4.8,Yes,2-Day Shipping,Yes,Yes,27,Cash,Bi-Weekly
38,Male,Outerwear,76,M,Fall,4.3,Yes,Express,Yes,Yes,44,Cash,Annually
64,Male,Accessories,84,L,Summer,4,Yes,Express,Yes,Yes,32,Bank Transfer,Annually
19,Male,Clothing,72,M,Winter,4.2,Yes,Standard,Yes,Yes,11,Cash,Fortnightly
40,Male,Accessories,40,L,Spring,4.8,Yes,2-Day Shipping,Yes,Yes,44,Cash,Fortnightly
57,Male,Clothing,89,L,Fall,3.1,Yes,Free Shipping,Yes,Yes,46,Cash,Weekly
44,Male,Clothing,86,M,Spring,3.1,Yes,Next Day Air,Yes,Yes,50,PayPal,Annually
49,Male,Clothing,54,M,Winter,3.6,Yes,Next Day Air,Yes,Yes,45,Venmo,Every 3 Months
43,Male,Clothing,36,L,Spring,3.9,Yes,Store Pickup,Yes,Yes,48,Cash,Every 3 Months
24,Male,Clothing,89,M,Winter,4.8,Yes,Next Day Air,Yes,Yes,26,Credit Card,Weekly
20,Male,Accessories,32,M,Spring,4.7,Yes,Standard,Yes,Yes,21,Credit Card,Fortnightly
24,Male,Clothing,67,XL,Summer,4.2,Yes,2-Day Shipping,Yes,Yes,49,PayPal,Bi-Weekly
44,Male,Accessories,39,L,Fall,3.7,Yes,Next Day Air,Yes,Yes,13,PayPal,Fortnightly
28,Male,Clothing,29,L,Summer,3.9,Yes,Standard,Yes,Yes,46,Credit Card,Weekly
30,Male,Accessories,58,M,Fall,4.7,Yes,2-Day Shipping,Yes,Yes,42,PayPal,Weekly
52,Male,Clothing,65,M,Winter,2.5,Yes,Next Day Air,Yes,Yes,25,Venmo,Annually
43,Male,Accessories,94,L,Fall,4.9,Yes,Store Pickup,Yes,Yes,25,Cash,Monthly
43,Male,Footwear,81,M,Fall,4.1,Yes,Express,Yes,Yes,12,PayPal,Quarterly
39,Male,Clothing,86,M,Winter,3.3,Yes,Free Shipping,Yes,Yes,4,Debit Card,Quarterly
68,Male,Footwear,43,M,Spring,4.7,Yes,Free Shipping,Yes,Yes,38,PayPal,Weekly
68,Male,Clothing,29,M,Winter,4.4,Yes,Store Pickup,Yes,Yes,42,Bank Transfer,Weekly
49,Male,Outerwear,95,M,Fall,3.8,Yes,Store Pickup,Yes,Yes,30,Venmo,Annually
63,Male,Clothing,28,L,Fall,3.9,Yes,2-Day Shipping,Yes,Yes,50,Credit Card,Weekly
56,Male,Accessories,46,M,Fall,4.9,Yes,Free Shipping,Yes,Yes,45,PayPal,Weekly
37,Male,Outerwear,58,L,Fall,3.1,Yes,Free Shipping,Yes,Yes,33,Credit Card,Fortnightly
30,Male,Outerwear,48,M,Fall,2.7,Yes,Store Pickup,Yes,Yes,25,PayPal,Quarterly
19,Male,Footwear,43,M,Fall,3.2,Yes,Express,Yes,Yes,25,Cash,Monthly
24,Male,Accessories,95,M,Fall,4.5,Yes,Standard,Yes,Yes,44,Debit Card,Quarterly
52,Male,Clothing,30,S,Fall,4,Yes,Standard,Yes,Yes,21,Venmo,Fortnightly
63,Male,Footwear,64,M,Summer,3.5,Yes,2-Day Shipping,Yes,Yes,31,Bank Transfer,Fortnightly
37,Male,Accessories,90,M,Fall,2.6,Yes,Store Pickup,Yes,Yes,47,Debit Card,Annually
38,Male,Clothing,76,M,Summer,3.2,Yes,Free Shipping,Yes,Yes,14,PayPal,Monthly
35,Male,Footwear,96,L,Fall,4.9,Yes,Standard,Yes,Yes,17,Debit Card,Every 3 Months
28,Male,Accessories,47,L,Fall,4.5,Yes,Next Day Air,Yes,Yes,3,Venmo,Annually
30,Male,Clothing,85,S,Summer,4.3,Yes,Express,Yes,Yes,42,Venmo,Annually
69,Male,Clothing,55,M,Winter,3.2,Yes,Standard,Yes,Yes,22,Debit Card,Annually
41,Male,Clothing,98,M,Fall,3.6,Yes,Next Day Air,Yes,Yes,21,Venmo,Quarterly
63,Male,Clothing,77,S,Spring,4.3,Yes,Free Shipping,Yes,Yes,21,Bank Transfer,Quarterly
35,Male,Clothing,26,M,Fall,4,Yes,Standard,Yes,Yes,40,Debit Card,Annually
36,Male,Accessories,68,S,Fall,3,Yes,Next Day Air,Yes,Yes,1,Bank Transfer,Fortnightly
25,Male,Clothing,73,XL,Fall,4.1,Yes,Standard,Yes,Yes,50,Bank Transfer,Monthly
58,Male,Accessories,27,M,Fall,3.8,Yes,Store Pickup,Yes,Yes,39,Bank Transfer,Every 3 Months
27,Male,Accessories,23,M,Summer,4.6,Yes,Free Shipping,Yes,Yes,34,Venmo,Monthly
65,Male,Accessories,49,M,Fall,3,Yes,Express,Yes,Yes,29,Venmo,Fortnightly
54,Male,Accessories,74,M,Summer,3,Yes,Store Pickup,Yes,Yes,31,PayPal,Bi-Weekly
54,Male,Clothing,67,M,Summer,3.4,Yes,Standard,Yes,Yes,8,Debit Card,Weekly
59,Male,Accessories,65,S,Spring,2.6,Yes,Free Shipping,Yes,Yes,5,Credit Card,Fortnightly
42,Male,Accessories,60,S,Winter,2.8,Yes,Store Pickup,Yes,Yes,7,Cash,Monthly
46,Male,Footwear,31,XL,Fall,4,Yes,Store Pickup,Yes,Yes,30,Cash,Monthly
33,Male,Accessories,27,M,Fall,4,Yes,Express,Yes,Yes,14,Credit Card,Every 3 Months
34,Male,Footwear,80,M,Summer,3,Yes,Express,Yes,Yes,5,Cash,Fortnightly
27,Male,Outerwear,30,S,Summer,3.3,Yes,Standard,Yes,Yes,3,PayPal,Every 3 Months
52,Male,Clothing,25,M,Fall,2.6,Yes,Store Pickup,Yes,Yes,46,Venmo,Bi-Weekly
29,Male,Clothing,35,M,Summer,3.6,Yes,Store Pickup,Yes,Yes,4,Credit Card,Weekly
54,Male,Accessories,67,M,Summer,3.9,Yes,Next Day Air,Yes,Yes,42,Credit Card,Bi-Weekly
25,Male,Accessories,46,M,Fall,3.4,Yes,Standard,Yes,Yes,30,Cash,Annually
41,Male,Footwear,35,L,Winter,3.5,Yes,Express,Yes,Yes,37,Venmo,Annually
53,Male,Outerwear,86,L,Fall,2.8,Yes,Next Day Air,Yes,Yes,2,Bank Transfer,Annually
53,Male,Accessories,81,L,Spring,2.7,Yes,Next Day Air,Yes,Yes,30,Credit Card,Quarterly
21,Male,Clothing,42,L,Fall,3.7,Yes,Next Day Air,Yes,Yes,47,Bank Transfer,Monthly
61,Male,Clothing,43,L,Fall,4.3,Yes,2-Day Shipping,Yes,Yes,21,PayPal,Quarterly
64,Male,Footwear,31,M,Fall,4.9,Yes,Store Pickup,Yes,Yes,9,Bank Transfer,Fortnightly
51,Male,Footwear,81,L,Fall,3.3,Yes,Store Pickup,Yes,Yes,12,Debit Card,Fortnightly
32,Male,Clothing,61,M,Summer,4.7,Yes,Next Day Air,Yes,Yes,4,Bank Transfer,Weekly
38,Male,Accessories,96,XL,Summer,2.8,Yes,Store Pickup,Yes,Yes,10,Debit Card,Annually
58,Male,Clothing,29,XL,Spring,3.6,Yes,2-Day Shipping,Yes,Yes,26,Credit Card,Weekly
32,Male,Footwear,33,L,Spring,3,Yes,Express,Yes,Yes,40,Cash,Fortnightly
46,Male,Clothing,32,XL,Summer,4.5,Yes,Store Pickup,Yes,Yes,34,Bank Transfer,Fortnightly
39,Male,Accessories,56,S,Summer,2.9,Yes,Standard,Yes,Yes,31,Debit Card,Annually
19,Male,Footwear,94,S,Spring,3.3,Yes,Store Pickup,Yes,Yes,1,Bank Transfer,Bi-Weekly
50,Male,Clothing,53,M,Spring,3.1,Yes,Express,Yes,Yes,5,Bank Transfer,Bi-Weekly
36,Male,Clothing,82,M,Fall,4.4,Yes,Next Day Air,Yes,Yes,4,Credit Card,Weekly
65,Male,Outerwear,70,XL,Fall,3,Yes,Free Shipping,Yes,Yes,48,Venmo,Quarterly
64,Male,Accessories,76,M,Fall,3.9,Yes,Free Shipping,Yes,Yes,29,Cash,Every 3 Months
46,Male,Footwear,29,L,Summer,2.9,Yes,Express,Yes,Yes,12,PayPal,Bi-Weekly
36,Male,Accessories,100,S,Fall,3,Yes,Standard,Yes,Yes,29,Venmo,Annually
51,Male,Accessories,94,M,Spring,3.1,Yes,Express,Yes,Yes,15,Debit Card,Quarterly
51,Male,Outerwear,25,M,Fall,4.3,Yes,Free Shipping,Yes,Yes,34,Credit Card,Monthly
38,Male,Footwear,88,M,Summer,3.9,Yes,Next Day Air,Yes,Yes,41,Credit Card,Fortnightly
59,Male,Accessories,78,M,Fall,3.2,Yes,2-Day Shipping,Yes,Yes,41,Credit Card,Monthly
57,Male,Accessories,45,M,Winter,4.8,Yes,Standard,Yes,Yes,39,Credit Card,Fortnightly
54,Male,Accessories,73,XL,Summer,3.8,Yes,Express,Yes,Yes,32,Cash,Weekly
25,Male,Clothing,61,S,Summer,3.3,Yes,Next Day Air,Yes,Yes,29,Venmo,Monthly
69,Male,Clothing,22,S,Fall,4.3,Yes,Free Shipping,Yes,Yes,15,Bank Transfer,Annually
57,Male,Accessories,38,L,Spring,2.7,Yes,Express,Yes,Yes,33,Venmo,Annually
70,Male,Accessories,38,S,Fall,3.2,Yes,Next Day Air,Yes,Yes,18,Bank Transfer,Weekly
24,Male,Footwear,100,M,Fall,4,Yes,Store Pickup,Yes,Yes,35,Cash,Bi-Weekly
67,Male,Clothing,64,M,Winter,3,Yes,Standard,Yes,Yes,25,PayPal,Weekly
24,Male,Clothing,55,L,Summer,4.2,Yes,Free Shipping,Yes,Yes,6,Venmo,Fortnightly
62,Male,Accessories,91,M,Summer,2.9,Yes,Express,Yes,Yes,17,Bank Transfer,Bi-Weekly
57,Male,Clothing,38,M,Spring,4.1,Yes,Store Pickup,Yes,Yes,17,Credit Card,Monthly
55,Male,Footwear,97,S,Winter,3.2,Yes,Store Pickup,Yes,Yes,44,Cash,Every 3 Months
45,Male,Outerwear,22,L,Fall,3,Yes,2-Day Shipping,Yes,Yes,6,PayPal,Fortnightly
69,Male,Clothing,92,L,Fall,4.2,Yes,2-Day Shipping,Yes,Yes,45,Debit Card,Fortnightly
67,Male,Accessories,84,L,Fall,4.2,Yes,Express,Yes,Yes,7,Debit Card,Annually
30,Male,Accessories,93,L,Fall,4.4,Yes,Store Pickup,Yes,Yes,11,Debit Card,Every 3 Months
24,Male,Outerwear,50,L,Summer,4.2,Yes,Next Day Air,Yes,Yes,41,Cash,Every 3 Months
62,Male,Accessories,64,S,Spring,2.8,Yes,2-Day Shipping,Yes,Yes,24,PayPal,Bi-Weekly
43,Male,Clothing,61,L,Spring,3.7,Yes,Free Shipping,Yes,Yes,21,Venmo,Weekly
35,Male,Accessories,48,M,Winter,3.5,Yes,Next Day Air,Yes,Yes,24,Bank Transfer,Annually
28,Male,Clothing,45,S,Spring,2.9,Yes,Store Pickup,Yes,Yes,8,Credit Card,Quarterly
32,Male,Accessories,88,M,Spring,3,Yes,Free Shipping,Yes,Yes,12,Cash,Fortnightly
39,Male,Footwear,57,S,Spring,3.7,Yes,Express,Yes,Yes,48,Debit Card,Fortnightly
28,Male,Accessories,68,XL,Summer,4.4,Yes,Store Pickup,Yes,Yes,6,Bank Transfer,Quarterly
47,Male,Accessories,94,XL,Spring,4.5,Yes,2-Day Shipping,Yes,Yes,14,PayPal,Fortnightly
20,Male,Clothing,41,M,Spring,4.8,Yes,Free Shipping,Yes,Yes,34,PayPal,Annually
63,Male,Clothing,83,S,Summer,2.9,Yes,Free Shipping,Yes,Yes,12,Cash,Every 3 Months
25,Male,Outerwear,22,M,Spring,3.2,Yes,Next Day Air,Yes,Yes,11,Bank Transfer,Annually
29,Male,Footwear,74,L,Spring,3.3,Yes,Free Shipping,Yes,Yes,5,PayPal,Monthly
50,Male,Clothing,90,M,Winter,4.2,Yes,Standard,Yes,Yes,25,Venmo,Fortnightly
18,Male,Clothing,79,M,Spring,2.9,Yes,Store Pickup,Yes,Yes,11,Credit Card,Annually
70,Male,Footwear,28,S,Spring,4.6,Yes,Next Day Air,Yes,Yes,27,PayPal,Every 3 Months
66,Male,Accessories,88,L,Fall,4.1,Yes,Standard,Yes,Yes,43,Credit Card,Annually
28,Male,Clothing,26,M,Spring,3.1,Yes,2-Day Shipping,Yes,Yes,18,Debit Card,Every 3 Months
54,Male,Accessories,27,L,Winter,4.2,Yes,Express,Yes,Yes,32,Bank Transfer,Bi-Weekly
19,Male,Clothing,83,XL,Fall,4.5,Yes,Next Day Air,Yes,Yes,27,Bank Transfer,Every 3 Months
20,Male,Accessories,39,S,Summer,3.7,Yes,Next Day Air,Yes,Yes,24,Credit Card,Weekly
43,Male,Accessories,89,M,Winter,3.7,Yes,Free Shipping,Yes,Yes,31,Debit Card,Quarterly
38,Male,Outerwear,68,L,Winter,3.4,Yes,Next Day Air,Yes,Yes,39,PayPal,Fortnightly
50,Male,Clothing,90,M,Summer,3,Yes,Store Pickup,Yes,Yes,36,Debit Card,Fortnightly
64,Male,Clothing,34,M,Fall,4.2,Yes,Free Shipping,Yes,Yes,5,Cash,Annually
49,Male,Clothing,51,L,Summer,2.9,Yes,Express,Yes,Yes,47,Credit Card,Bi-Weekly
47,Male,Clothing,45,XL,Winter,3.5,Yes,Free Shipping,Yes,Yes,29,Bank Transfer,Fortnightly
36,Male,Clothing,88,M,Winter,4.1,Yes,Free Shipping,Yes,Yes,43,Venmo,Bi-Weekly
55,Male,Outerwear,85,L,Summer,4.3,Yes,Store Pickup,Yes,Yes,40,Debit Card,Every 3 Months
25,Male,Accessories,100,M,Winter,2.8,Yes,2-Day Shipping,Yes,Yes,4,Debit Card,Monthly
53,Male,Accessories,42,S,Spring,4.9,Yes,2-Day Shipping,Yes,Yes,39,PayPal,Weekly
49,Male,Footwear,53,L,Summer,3.3,Yes,Next Day Air,Yes,Yes,45,Venmo,Fortnightly
35,Male,Accessories,86,XL,Spring,3.2,Yes,Express,Yes,Yes,20,Venmo,Bi-Weekly
29,Male,Clothing,66,XL,Spring,4.4,Yes,Standard,Yes,Yes,14,Debit Card,Weekly
47,Male,Accessories,100,M,Winter,4.8,Yes,Express,Yes,Yes,33,PayPal,Weekly
53,Male,Accessories,47,S,Fall,4.2,Yes,Standard,Yes,Yes,18,Credit Card,Annually
33,Male,Clothing,25,L,Fall,4,Yes,Express,Yes,Yes,9,Bank Transfer,Weekly
21,Male,Accessories,51,XL,Winter,2.5,Yes,Standard,Yes,Yes,34,PayPal,Annually
32,Male,Clothing,41,M,Summer,3.9,Yes,Free Shipping,Yes,Yes,33,Venmo,Fortnightly
52,Male,Footwear,73,L,Winter,4.9,Yes,2-Day Shipping,Yes,Yes,15,Bank Transfer,Bi-Weekly
67,Male,Accessories,42,M,Winter,3.5,Yes,Store Pickup,Yes,Yes,4,PayPal,Bi-Weekly
43,Male,Accessories,20,M,Spring,4.2,Yes,Free Shipping,Yes,Yes,25,Debit Card,Annually
